	approximate_current_flow_betweenness_centrality	betweenness	closeness_centrality	communicability_centrality_exp	current_flow_betweenness_centrality	degree	degree-vs	eccentricity	eigenvector_centrality	importance	label	load_centrality	nature	pers_mes_characters	pers_mes_rss	pers_mes_scenes	pers_mes_sps	position	role	sex	importance-nr	is_protagonist	is_lover	is_antagonist	is_primary	is_minor	antagonist	lover	degree-rel	betweenness-rel	position-rel	work	total_characters
#nico	0.16405256942805987	0.0396969696969697	0.8461538461538461	294.48375664321424	0.15575944433333608	9	900	2	0.3464745293903762	minor	Nicolás	0.03969696969696969	person	1887	12	4	34	9	other	M	3	0	0	0	0	1	0	0	0.75	0.0033080808080808086	0.75	bette056_Unamuno_Esfinge	12
#pepe	0.10513507718819007	0.019696969696969695	0.7333333333333333	190.29804377738688	0.12191736649597293	7	700	2	0.2777401215675517	minor	José	0.019696969696969692	person	953	14	2	16	7	other	M	3	0	0	0	0	1	0	0	0.5833333333333334	0.0016414141414141414	0.5833333333333334	bette056_Unamuno_Esfinge	12
#mart	0.07997388427701949	0.00303030303030303	0.6111111111111112	71.42681324335787	0.0644485577092557	4	400	2	0.16887142562836	minor	Martina	0.0030303030303030316	person	823	0	6	23	10	other	F	3	0	0	0	0	1	0	0	0.3333333333333333	0.00025252525252525247	0.8333333333333334	bette056_Unamuno_Esfinge	12
#ange	0.22890942227639222	0.15939393939393937	1.0	351.52140050960907	0.24355584953859413	11	1100	1	0.3785962129798776	primary	Ángel	0.1593939393939394	person	43914	131	26	324	1	protagonist	M	1	1	0	0	1	0	0	0	0.9166666666666666	0.01328282828282828	0.08333333333333333	bette056_Unamuno_Esfinge	12
#euse	0.1285895366145138	0.013939393939393939	0.7857142857142857	258.7426415787603	0.1223110885725974	8	800	2	0.3245942070872137	secondary	Eusebio	0.013939393939393937	person	3445	28	6	47	5	antagonist	M	2	0	0	1	0	0	1	0	0.6666666666666666	0.0011616161616161615	0.4166666666666667	bette056_Unamuno_Esfinge	12
#ramo	0.08952513219310054	0.0	0.6875	171.24866917076204	0.08362520793253349	6	600	2	0.2636755020034884	minor	La Tía Ramona	0.0	person	2044	7	5	27	6	other	F	3	0	0	0	0	1	0	0	0.5	0.0	0.5	bette056_Unamuno_Esfinge	12
#teod	0.09287983839171	0.0	0.6875	165.07755206291554	0.085331917145196	6	600	2	0.2585576710088938	minor	Teodoro	0.0	person	2440	7	2	29	8	other	M	3	0	0	0	0	1	0	0	0.5	0.0	0.6666666666666666	bette056_Unamuno_Esfinge	12
#eufe	0.14587745940394262	0.0396969696969697	0.8461538461538461	290.11749821611414	0.15613731222792207	9	900	2	0.3437766576458715	primary	Eufemia	0.0396969696969697	person	10120	68	16	141	2	lover	F	1	0	1	0	1	0	0	1	0.75	0.0033080808080808086	0.16666666666666666	bette056_Unamuno_Esfinge	12
#hime	0.13309831522628088	0.01212121212121212	0.6470588235294118	93.10560551032984	0.10625121285854978	5	500	2	0.19262269720567377	minor	El Hijo menor de Felipe	0.012121212121212118	person	313	0	3	7	12	other	M	3	0	0	0	0	1	0	0	0.4166666666666667	0.0010101010101010099	1.0	bette056_Unamuno_Esfinge	12
#joaq	0.152029243141936	0.0396969696969697	0.8461538461538461	294.4837566432143	0.1557594443333362	9	900	2	0.3464745293903762	secondary	Joaquín	0.03969696969696969	person	5560	20	6	88	3	other	M	2	0	0	0	0	0	0	0	0.75	0.0033080808080808086	0.25	bette056_Unamuno_Esfinge	12
#hima	0.0378459616019602	0.0	0.5789473684210527	34.13967139320546	0.0488734125729323	3	300	2	0.11390980313230041	minor	El Hijo mayor de Felipe	0.0	person	261	0	2	7	11	other	M	3	0	0	0	0	1	0	0	0.25	0.0	0.9166666666666666	bette056_Unamuno_Esfinge	12
#feli	0.2052812400511943	0.09090909090909091	0.8461538461538461	248.50345333896735	0.20733457831951285	9	900	2	0.3176775078961523	secondary	Felipe	0.09090909090909088	person	5156	29	8	74	4	other	M	2	0	0	0	0	0	0	0	0.75	0.007575757575757576	0.3333333333333333	bette056_Unamuno_Esfinge	12
