	approximate_current_flow_betweenness_centrality	betweenness	closeness_centrality	communicability_centrality_exp	current_flow_betweenness_centrality	degree	degree-vs	eccentricity	eigenvector_centrality	importance	label	load_centrality	nature	pers_mes_characters	pers_mes_rss	pers_mes_scenes	pers_mes_sps	position	role	sex	importance-nr	is_protagonist	is_lover	is_antagonist	is_primary	is_minor	antagonist	lover	degree-rel	betweenness-rel	position-rel	work	total_characters
#escu	0.051404712833477424	0.0	0.5238095238095238	11.98974260213549	0.06445863801563492	3	300	3	0.2110200987207504	minor	Escudero	0.0	person	73	3	1	1	9	other	M	3	0	0	0	0	1	0	0	0.25	0.0	0.75	bette028_Valera_Atahualpa	12
#iren	0.2024343493528151	0.02727272727272727	0.6111111111111112	24.574128827640056	0.1627041670965835	5	500	3	0.31537774418296327	secondary	Doña Irene	0.02727272727272727	person	11572	21	7	52	8	other	F	2	0	0	0	0	0	0	0	0.4166666666666667	0.0022727272727272726	0.6666666666666666	bette028_Valera_Atahualpa	12
#fern	0.4650661116050758	0.18939393939393936	0.6470588235294118	20.498797446359376	0.27362527457259433	5	500	2	0.28443718266848445	primary	Don Fernando	0.18977272727272726	person	6512	49	7	29	10	antagonist	M	1	0	0	1	1	0	1	0	0.4166666666666667	0.01578282828282828	0.8333333333333334	bette028_Valera_Atahualpa	12
#garc	0.04345214437610888	0.0	0.4583333333333333	4.9991558056352705	0.04307116035114007	2	200	3	0.1142413634455494	minor	Garcés	0.0	person	608	6	2	5	12	other	M	3	0	0	0	0	1	0	0	0.16666666666666666	0.0	1.0	bette028_Valera_Atahualpa	12
#pere	6.661338147750939e-18	0.0	0.4074074074074074	2.0986897127893362	0.0	1	100	3	0.05218063414916845	minor	Pérez	0.0	person	333	6	1	5	11	other	M	3	0	0	0	0	1	0	0	0.08333333333333333	0.0	0.9166666666666666	bette028_Valera_Atahualpa	12
#cipr	0.08086766615995444	0.0	0.55	11.360385501945942	0.07796144492326124	3	300	3	0.20305795714702451	minor	Cipriano	0.0	person	576	14	3	9	6	other	M	3	0	0	0	0	1	0	0	0.25	0.0	0.5	bette028_Valera_Atahualpa	12
#juan	0.04153193721138915	0.0	0.5	6.243283919488221	0.040431836527011	2	200	3	0.14314516251733517	minor	Juanilla	0.0	person	2747	19	2	7	1	other	F	3	0	0	0	0	1	0	0	0.16666666666666666	0.0	0.08333333333333333	bette028_Valera_Atahualpa	12
#bria	0.21345800366307877	0.0606060606060606	0.6111111111111112	19.907685359861087	0.1958044078376623	5	500	3	0.27471474006695434	secondary	Doña Brianda	0.06287878787878788	person	8829	28	5	38	7	other	F	2	0	0	0	0	0	0	0	0.4166666666666667	0.00505050505050505	0.5833333333333334	bette028_Valera_Atahualpa	12
#cuel	0.29827655015017	0.14242424242424243	0.6875	29.388198378857044	0.2553734280404689	6	600	2	0.34802040742680523	primary	Francisco de Cuéllar	0.14015151515151514	person	11276	61	8	47	3	lover	M	1	0	1	0	1	0	0	1	0.5	0.011868686868686869	0.25	bette028_Valera_Atahualpa	12
#rive	0.23244307682221776	0.12575757575757576	0.6875	36.12079377476542	0.28124912697369114	7	700	3	0.3887726559299652	primary	Bartolomé Rivera	0.12462121212121213	person	16757	25	7	67	4	antagonist	M	1	0	0	1	1	0	1	0	0.5833333333333334	0.01047979797979798	0.3333333333333333	bette028_Valera_Atahualpa	12
#padr	0.31520407118009314	0.18939393939393936	0.7857142857142857	46.19761666121246	0.31138292209681256	8	800	2	0.44338654288220286	secondary	El Padre Antonio	0.18825757575757568	person	9586	49	7	66	5	other	M	2	0	0	0	0	0	0	0	0.6666666666666666	0.01578282828282828	0.4166666666666667	bette028_Valera_Atahualpa	12
#laur	0.28819398747014024	0.13787878787878788	0.7333333333333333	36.799078015817784	0.2753844761302037	7	700	2	0.39151463511237555	primary	Laura	0.13977272727272727	person	9743	95	11	45	2	protagonist	F	1	1	0	0	1	0	0	0	0.5833333333333334	0.01148989898989899	0.16666666666666666	bette028_Valera_Atahualpa	12
