	approximate_current_flow_betweenness_centrality	betweenness	closeness_centrality	communicability_centrality_exp	current_flow_betweenness_centrality	degree	degree-vs	eccentricity	eigenvector_centrality	importance	label	load_centrality	nature	pers_mes_characters	pers_mes_rss	pers_mes_scenes	pers_mes_sps	position	role	sex	importance-nr	is_protagonist	is_lover	is_antagonist	is_primary	is_minor	antagonist	lover	degree-rel	betweenness-rel	position-rel	work	total_characters
#marq	0.23929573637888424	0.1769230769230769	0.8666666666666667	765.1606908637465	0.26958237506121707	11	1100	2	0.3325771196930745	secondary	de Retamosa del Valle	0.17692307692307693	person	17096	113	17	192	4	other	M	2	0	0	0	0	0	0	0	0.7857142857142857	0.012637362637362636	0.2857142857142857	bette003_Echegaray_Arrastrarse	14
#toma	0.10867038986749451	0.03205128205128205	0.65	272.9437486939848	0.12761091296726035	6	600	2	0.1980471134258853	secondary	Tomás	0.03205128205128205	person	5045	34	9	78	10	other	M	2	0	0	0	0	0	0	0	0.42857142857142855	0.002289377289377289	0.7142857142857143	bette003_Echegaray_Arrastrarse	14
#anse	0.08361468933332336	0.0	0.7222222222222222	578.941900719686	0.087172080579653	8	800	2	0.2892141039728308	secondary	Don Anselmo	0.0	person	1183	15	2	19	7	other	M	2	0	0	0	0	0	0	0	0.5714285714285714	0.0	0.5	bette003_Echegaray_Arrastrarse	14
#javi	0.11610323227323967	0.023076923076923075	0.8125	747.4740785879128	0.1332477075016051	10	1000	2	0.3287546241000794	primary	Javier	0.02307692307692307	person	4302	56	9	76	8	antagonist	M	1	0	0	1	1	0	1	0	0.7142857142857143	0.0016483516483516481	0.5714285714285714	bette003_Echegaray_Arrastrarse	14
#pad1	0.10089863995060736	0.0	0.7222222222222222	578.941900719686	0.08717208057965295	8	800	2	0.2892141039728308	minor	Padrino 1º 	0.0	person	347	2	1	6	11	other	M	3	0	0	0	0	1	0	0	0.5714285714285714	0.0	0.7857142857142857	bette003_Echegaray_Arrastrarse	14
#deme	8.635067969306773e-18	0.0	0.48148148148148145	11.120593720516585	0.0	1	100	3	0.03761758131051065	minor	Demetrio	0.0	person	816	3	2	11	14	other	M	3	0	0	0	0	1	0	0	0.07142857142857142	0.0	1.0	bette003_Echegaray_Arrastrarse	14
#basi	0.02659861420440485	0.0	0.5416666666666666	95.04325887327758	0.02816800868025817	3	300	3	0.11627330310532312	secondary	Basilio	0.0	person	5756	21	4	50	9	other	M	2	0	0	0	0	0	0	0	0.21428571428571427	0.0	0.6428571428571429	bette003_Echegaray_Arrastrarse	14
#plac	0.207247034812365	0.1705128205128205	0.9285714285714286	832.121644118463	0.24458690900784427	12	1200	2	0.3468323066896389	primary	Plácido	0.17051282051282052	person	42979	177	39	530	3	protagonist	M	1	1	0	0	1	0	0	0	0.8571428571428571	0.012179487179487178	0.21428571428571427	bette003_Echegaray_Arrastrarse	14
#lesm	0.011190299430833966	0.0	0.52	28.158283984089415	0.021843412712009586	2	200	3	0.0616307766091168	minor	Tío Lesmes	0.0	person	3787	8	2	31	13	other	M	3	0	0	0	0	1	0	0	0.14285714285714285	0.0	0.9285714285714286	bette003_Echegaray_Arrastrarse	14
#blan	0.14083191479256804	0.06153846153846155	0.8666666666666667	802.1414119385336	0.17150984316351797	11	1100	2	0.34056964526804223	primary	Blanca	0.06153846153846152	person	13333	124	17	175	1	antagonist	F	1	0	0	1	1	0	1	0	0.7857142857142857	0.0043956043956043965	0.07142857142857142	bette003_Echegaray_Arrastrarse	14
#clau	0.06865869159299	0.0	0.6190476190476191	253.66259876327234	0.0592592967537288	5	500	2	0.1910760951091083	secondary	Claudio	0.0	person	9475	51	9	140	5	other	M	2	0	0	0	0	0	0	0	0.35714285714285715	0.0	0.35714285714285715	bette003_Echegaray_Arrastrarse	14
#pad2	0.10089863995060733	0.0	0.7222222222222222	578.9419007196857	0.08717208057965313	8	800	2	0.2892141039728308	minor	Padrino 2º	0.0	person	502	0	1	5	12	other	M	3	0	0	0	0	1	0	0	0.5714285714285714	0.0	0.8571428571428571	bette003_Echegaray_Arrastrarse	14
#jose	0.14323886851689363	0.06153846153846155	0.8666666666666667	802.1414119385337	0.17150984316351783	11	1100	2	0.34056964526804234	primary	Josefina	0.06153846153846152	person	14814	113	19	187	2	lover	F	1	0	1	0	1	0	0	1	0.7857142857142857	0.0043956043956043965	0.14285714285714285	bette003_Echegaray_Arrastrarse	14
#romu	0.1008986399506074	0.0	0.7222222222222222	578.9419007196857	0.08717208057965294	8	800	2	0.28921410397283087	secondary	Don Romualdo	0.0	person	3006	27	4	57	6	other	M	2	0	0	0	0	0	0	0	0.5714285714285714	0.0	0.42857142857142855	bette003_Echegaray_Arrastrarse	14
