	approximate_current_flow_betweenness_centrality	betweenness	closeness_centrality	communicability_centrality_exp	current_flow_betweenness_centrality	degree	degree-vs	eccentricity	eigenvector_centrality	importance	label	load_centrality	nature	pers_mes_characters	pers_mes_rss	pers_mes_scenes	pers_mes_sps	position	role	sex	importance-nr	is_protagonist	is_lover	is_antagonist	is_primary	is_minor	antagonist	lover	degree-rel	betweenness-rel	position-rel	work	total_characters
#ramo	0.07473720698810524	0.0	0.6875	171.24866917076238	0.08362520793253349	6	600	2	0.2636755020034884	minor	La Tía Ramona	0.0	person	2044	7	5	27	6	other	F	3	0	0	0	0	1	0	0	0.5	0.0	0.5	bette056_Unamuno_Esfinge	12
#ange	0.1883525330762513	0.1593939393939394	1.0	351.5214005096097	0.24355584953859413	11	1100	1	0.3785962129798775	primary	Ángel	0.15939393939393937	person	43914	131	26	324	1	protagonist	M	1	1	0	0	1	0	0	0	0.9166666666666666	0.013282828282828283	0.08333333333333333	bette056_Unamuno_Esfinge	12
#teod	0.09791315575601357	0.0	0.6875	165.07755206291586	0.085331917145196	6	600	2	0.2585576710088938	minor	Teodoro	0.0	person	2440	7	2	29	8	other	M	3	0	0	0	0	1	0	0	0.5	0.0	0.6666666666666666	bette056_Unamuno_Esfinge	12
#joaq	0.14315254281739237	0.03969696969696969	0.8461538461538461	294.4837566432149	0.15575944433333608	9	900	2	0.3464745293903762	secondary	Joaquín	0.03969696969696969	person	5560	20	6	88	3	other	M	2	0	0	0	0	0	0	0	0.75	0.0033080808080808073	0.25	bette056_Unamuno_Esfinge	12
#eufe	0.1862965410371693	0.0396969696969697	0.8461538461538461	290.1174982161149	0.15613731222792207	9	900	2	0.3437766576458715	primary	Eufemia	0.03969696969696969	person	10120	68	16	141	2	lover	F	1	0	1	0	1	0	0	1	0.75	0.0033080808080808086	0.16666666666666666	bette056_Unamuno_Esfinge	12
#pepe	0.0890171837473992	0.019696969696969695	0.7333333333333333	190.2980437773872	0.12191736649597293	7	700	2	0.2777401215675516	minor	José	0.019696969696969692	person	953	14	2	16	7	other	M	3	0	0	0	0	1	0	0	0.5833333333333334	0.0016414141414141414	0.5833333333333334	bette056_Unamuno_Esfinge	12
#hime	0.128017060800002	0.01212121212121212	0.6470588235294118	93.10560551033004	0.10625121285854978	5	500	2	0.1926226972056738	minor	El Hijo menor de Felipe	0.012121212121212118	person	313	0	3	7	12	other	M	3	0	0	0	0	1	0	0	0.4166666666666667	0.0010101010101010099	1.0	bette056_Unamuno_Esfinge	12
#nico	0.16573561419323682	0.03969696969696969	0.8461538461538461	294.4837566432149	0.1557594443333362	9	900	2	0.3464745293903762	minor	Nicolás	0.03969696969696969	person	1887	12	4	34	9	other	M	3	0	0	0	0	1	0	0	0.75	0.0033080808080808073	0.75	bette056_Unamuno_Esfinge	12
#euse	0.1642146194216069	0.013939393939393939	0.7857142857142857	258.7426415787608	0.1223110885725974	8	800	2	0.32459420708721365	secondary	Eusebio	0.013939393939393937	person	3445	28	6	47	5	antagonist	M	2	0	0	1	0	0	1	0	0.6666666666666666	0.0011616161616161615	0.4166666666666667	bette056_Unamuno_Esfinge	12
#hima	0.05228829951918398	0.0	0.5789473684210527	34.13967139320552	0.0488734125729323	3	300	2	0.11390980313230041	minor	El Hijo mayor de Felipe	0.0	person	261	0	2	7	11	other	M	3	0	0	0	0	1	0	0	0.25	0.0	0.9166666666666666	bette056_Unamuno_Esfinge	12
#mart	0.08990700858334524	0.00303030303030303	0.6111111111111112	71.42681324335803	0.0644485577092557	4	400	2	0.16887142562835997	minor	Martina	0.0030303030303030316	person	823	0	6	23	10	other	F	3	0	0	0	0	1	0	0	0.3333333333333333	0.00025252525252525247	0.8333333333333334	bette056_Unamuno_Esfinge	12
#feli	0.17430167071413702	0.09090909090909091	0.8461538461538461	248.50345333896794	0.20733457831951285	9	900	2	0.3176775078961523	secondary	Felipe	0.09090909090909088	person	5156	29	8	74	4	other	M	2	0	0	0	0	0	0	0	0.75	0.007575757575757576	0.3333333333333333	bette056_Unamuno_Esfinge	12
#todo	0.08192329950142452	0.007799145299145298	1.0	16065.655466215354	0.08406517360844273	13	1300	1	0.2824819851664821	minor	Todos	0.007799145299145303	person	1222	0	13	22	17	other	0	3	0	0	0	0	1	0	0	0.9285714285714286	0.0005570818070818071	1.2142857142857142	bette053_Munoz_Ortiz	14
#puli	0.07506849342786845	0.003632478632478632	0.9285714285714286	14185.255386033436	0.07851903705269099	12	1200	2	0.26543339778240566	secondary	Pulido	0.003632478632478634	person	3333	38	12	46	12	other	M	2	0	0	0	0	0	0	0	0.8571428571428571	0.00025946275946275946	0.8571428571428571	bette053_Munoz_Ortiz	14
#ever	0.07124864429551926	0.003632478632478632	0.9285714285714286	14185.255386033426	0.07851903705269084	12	1200	2	0.26543339778240566	minor	Everilda	0.003632478632478634	person	3842	24	19	58	5	other	F	3	0	0	0	0	1	0	0	0.8571428571428571	0.00025946275946275946	0.35714285714285715	bette053_Munoz_Ortiz	14
#prod	0.07562089241776743	0.003632478632478632	0.9285714285714286	14185.255386033432	0.07851903705269091	12	1200	2	0.26543339778240566	secondary	Prodosia	0.003632478632478634	person	7470	39	15	74	2	other	F	2	0	0	0	0	0	0	0	0.8571428571428571	0.00025946275946275946	0.14285714285714285	bette053_Munoz_Ortiz	14
#aten	0.07111641252266247	0.003632478632478632	0.9285714285714286	14185.255386033434	0.07851903705269088	12	1200	2	0.26543339778240566	secondary	Ateneo	0.003632478632478634	person	4819	21	11	53	11	other	M	2	0	0	0	0	0	0	0	0.8571428571428571	0.00025946275946275946	0.7857142857142857	bette053_Munoz_Ortiz	14
#eulo	0.08303973225848219	0.0010683760683760683	0.8125	10216.571961544825	0.06961247886728653	10	1000	2	0.22525467396796836	minor	Eulogia	0.0010683760683760674	person	2208	14	14	39	6	other	F	3	0	0	0	0	1	0	0	0.7142857142857143	7.63125763125763e-05	0.42857142857142855	bette053_Munoz_Ortiz	14
#juan	0.07024795227920227	0.007799145299145298	1.0	16065.655466215354	0.08406517360844276	13	1300	1	0.2824819851664821	secondary	Juan	0.007799145299145303	person	19459	42	30	136	10	other	M	2	0	0	0	0	0	0	0	0.9285714285714286	0.0005570818070818071	0.7142857142857143	bette053_Munoz_Ortiz	14
