	approximate_current_flow_betweenness_centrality	betweenness	closeness_centrality	communicability_centrality_exp	current_flow_betweenness_centrality	degree	degree-vs	eccentricity	eigenvector_centrality	importance	label	load_centrality	nature	pers_mes_characters	pers_mes_rss	pers_mes_scenes	pers_mes_sps	position	role	sex	importance-nr	is_protagonist	is_lover	is_antagonist	is_primary	is_minor	antagonist	lover	degree-rel	betweenness-rel	position-rel	work	total_characters
#cosm	0.057517166524189374	0.0029282828282828285	0.5952380952380952	28296.529705169436	0.053240440022652394	8	800	2	0.09486760663035369	minor	Don Cosme	0.0033539562289562294	person	3181	5	7	39	20	other	M	3	0	0	0	0	1	0	0	0.3076923076923077	0.00011262626262626263	0.7692307692307693	bette030_Munoz_Pergaminos	26
#urra	0.10990512681925654	0.02830115625115625	0.8064516129032258	226313.9920763005	0.09532228535915595	19	1900	2	0.26844482945247805	secondary	Urraca	0.027905002405002394	person	4632	16	27	104	3	other	F	2	0	0	0	0	0	0	0	0.7307692307692307	0.0010885060096598557	0.11538461538461539	bette030_Munoz_Pergaminos	26
#conc	0.03472293097845611	0.0	0.6097560975609756	75924.2797921852	0.039165963649070566	9	900	2	0.1554838779849606	minor	Concha	0.0	person	880	2	3	12	8	other	F	3	0	0	0	0	1	0	0	0.34615384615384615	0.0	0.3076923076923077	bette030_Munoz_Pergaminos	26
#mano	0.00937747087084174	0.0	0.5102040816326531	8322.049972348635	0.011364471298399034	3	300	3	0.05147008146722558	minor	Manolita	0.0	person	779	1	3	10	9	other	F	3	0	0	0	0	1	0	0	0.11538461538461539	0.0	0.34615384615384615	bette030_Munoz_Pergaminos	26
#pepi	0.04486109275296158	0.0011252525252525253	0.5813953488372093	22568.567130659885	0.04459680393637865	7	700	2	0.084719123406991	minor	Pepito	0.0015509259259259265	person	241	5	4	7	26	other	M	3	0	0	0	0	1	0	0	0.2692307692307692	4.327894327894328e-05	1.0	bette030_Munoz_Pergaminos	26
#bere	0.08394481462287952	0.02070103415103415	0.78125	212907.46791638638	0.08829556446816109	18	1800	2	0.2603726979729315	secondary	Berenguela	0.020401034151034145	person	2001	8	17	52	4	other	F	2	0	0	0	0	0	0	0	0.6923076923076923	0.0007961936211936212	0.15384615384615385	bette030_Munoz_Pergaminos	26
#rela	0.06226910321484978	0.0027022977022977024	0.6756756756756757	134799.72074596974	0.05578358165347718	13	1300	2	0.2071732790328228	minor	Rafaela	0.0027236652236652236	person	661	9	8	14	7	other	F	3	0	0	0	0	1	0	0	0.5	0.00010393452701145009	0.2692307692307692	bette030_Munoz_Pergaminos	26
#lain	0.09173712358601271	0.02070103415103415	0.78125	212907.46791638635	0.08829556446816111	18	1800	2	0.2603726979729315	secondary	Laín	0.020401034151034145	person	5254	10	16	109	16	other	M	2	0	0	0	0	0	0	0	0.6923076923076923	0.0007961936211936212	0.6153846153846154	bette030_Munoz_Pergaminos	26
#jaim	0.13711968233611924	0.05176621341621342	0.7352941176470589	125599.08321715312	0.1284297936279259	16	1600	2	0.19996121438009948	minor	Jaime	0.050879419191919205	person	4853	6	19	75	17	other	M	3	0	0	0	0	1	0	0	0.6153846153846154	0.001991008208315901	0.6538461538461539	bette030_Munoz_Pergaminos	26
#emil	0.028754373332884508	0.0	0.5319148936170213	14172.972792169576	0.03736003124600578	6	600	3	0.06711608961559787	minor	Emilita	0.0	person	61	2	1	1	11	other	F	3	0	0	0	0	1	0	0	0.23076923076923078	0.0	0.4230769230769231	bette030_Munoz_Pergaminos	26
#reve	0.009536595638646627	0.0	0.49019607843137253	4457.073004898193	0.015546200080596642	3	300	3	0.037636807568140675	minor	Revenga	0.0	person	312	5	2	7	25	other	M	3	0	0	0	0	1	0	0	0.11538461538461539	0.0	0.9615384615384616	bette030_Munoz_Pergaminos	26
#illo	0.06271945886780655	0.0027022977022977024	0.6756756756756757	134799.72074596977	0.05578358165347718	13	1300	2	0.2071732790328228	minor	Faelillo	0.0027236652236652236	person	314	0	8	12	22	other	M	3	0	0	0	0	1	0	0	0.5	0.00010393452701145009	0.8461538461538461	bette030_Munoz_Pergaminos	26
#nuno	0.10476529104067996	0.02830115625115625	0.8064516129032258	226313.99207630043	0.09532228535915614	19	1900	2	0.26844482945247805	secondary	Nuño	0.027905002405002394	person	16069	19	28	202	15	other	M	2	0	0	0	0	0	0	0	0.7307692307692307	0.0010885060096598557	0.5769230769230769	bette030_Munoz_Pergaminos	26
#meli	0.17049303525526147	0.10593124838124839	0.8620689655172413	221967.19003128365	0.159649324415811	21	2100	2	0.26584979555511645	secondary	Melitón	0.10465467171717176	person	21067	45	38	251	13	other	M	2	0	0	0	0	0	0	0	0.8076923076923077	0.004074278783894169	0.5	bette030_Munoz_Pergaminos	26
#chic	0.039852651130315296	0.0	0.5813953488372093	67946.44623308217	0.03791827961993248	9	900	3	0.1470801259832034	minor	Chicharita	0.0	person	2207	1	1	21	5	other	F	3	0	0	0	0	1	0	0	0.34615384615384615	0.0	0.19230769230769232	bette030_Munoz_Pergaminos	26
#rafa	0.07210504745106573	0.0092991230991231	0.7142857142857143	159854.06833066442	0.0697889808125498	15	1500	2	0.22560443917096218	minor	Rafael	0.009453823953823954	person	2147	12	13	30	23	other	M	3	0	0	0	0	1	0	0	0.5769230769230769	0.00035765858073550386	0.8846153846153846	bette030_Munoz_Pergaminos	26
#rita	0.0430981441820175	0.0	0.6410256410256411	104943.57999562155	0.04500980650557524	11	1100	2	0.1827967890092887	minor	Rafaelita	0.0	person	304	7	5	8	12	other	F	3	0	0	0	0	1	0	0	0.4230769230769231	0.0	0.46153846153846156	bette030_Munoz_Pergaminos	26
#rina	0.03985265113031529	0.0	0.5813953488372093	67946.44623308217	0.03791827961993238	9	900	3	0.1470801259832034	minor	Rafaelina	0.0	person	224	0	1	9	10	other	F	3	0	0	0	0	1	0	0	0.34615384615384615	0.0	0.38461538461538464	bette030_Munoz_Pergaminos	26
#domi	0.06116192880245842	0.008	0.6410256410256411	82396.05056066978	0.06798249985305611	11	1100	2	0.16196743243257736	minor	Domingo	0.007999999999999998	person	1861	3	12	23	21	other	M	3	0	0	0	0	1	0	0	0.4230769230769231	0.0003076923076923077	0.8076923076923077	bette030_Munoz_Pergaminos	26
#elvi	0.12038863433123875	0.04716118511118512	0.8064516129032258	212652.61720189636	0.11391549079735959	19	1900	2	0.26021629666251617	primary	Elvira	0.046642977392977396	person	6277	9	32	123	1	protagonist	F	1	1	0	0	1	0	0	0	0.7307692307692307	0.0018138917350455815	0.038461538461538464	bette030_Munoz_Pergaminos	26
#bern	0.08635118822892195	0.01085135975135975	0.6097560975609756	29723.92964598978	0.07631346385329031	9	900	2	0.09722587004228435	minor	Bernarda	0.012636363636363637	person	1972	4	8	34	6	other	F	3	0	0	0	0	1	0	0	0.34615384615384615	0.0004173599904369135	0.23076923076923078	bette030_Munoz_Pergaminos	26
#antu	0.03749013729490626	0.0003030303030303031	0.625	86867.56092357365	0.045452262301899984	10	1000	2	0.1663107474099691	minor	Antúnez	0.00030303030303030276	person	3940	1	3	34	18	other	M	3	0	0	0	0	1	0	0	0.38461538461538464	1.1655011655011657e-05	0.6923076923076923	bette030_Munoz_Pergaminos	26
#lito	0.03356148512201062	0.0	0.5813953488372093	52132.97870880653	0.03520236136953847	8	800	3	0.1288309932972087	minor	Faelito	0.0	person	640	4	7	17	24	other	M	3	0	0	0	0	1	0	0	0.3076923076923077	0.0	0.9230769230769231	bette030_Munoz_Pergaminos	26
#gonz	0.16367242662967174	0.10881921596921597	0.8928571428571429	247874.67857677498	0.1550061142615143	22	2200	2	0.28094226011327345	primary	Gonzalo	0.10985473785473784	person	10947	20	26	130	14	lover	M	1	0	1	0	1	0	0	1	0.8461538461538461	0.00418535446035446	0.5384615384615384	bette030_Munoz_Pergaminos	26
#rlon	0.08742327639160713	0.026016294816294815	0.7352941176470589	164457.3476890105	0.09311249513443734	16	1600	2	0.22882940069885957	minor	Rafaelón	0.02649086099086099	person	2793	10	20	43	19	other	M	3	0	0	0	0	1	0	0	0.6153846153846154	0.0010006267237036468	0.7307692307692307	bette030_Munoz_Pergaminos	26
